# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  43,   4.379,   5.354,   0.000,   0.724,   0.689,   0.000,  0,   0.000,    1,    0,    5,   14,    4
  36,   5.354,   5.354,   0.000,   0.689,   0.689,   0.000,  0,   0.000,    1,    0,    6,   15,    4
  27,   6.328,   5.354,   0.000,   0.654,   0.689,   0.000,  0,   0.000,    0,    0,    6,   16,    4
  19,   7.303,   5.354,   0.000,   0.619,   0.689,   0.000,  0,   0.000,    0,    0,    7,   17,    4
  11,   8.277,   5.354,   0.000,   0.583,   0.689,   0.000,  0,   0.000,    0,    0,    8,   18,    4
   3,   9.252,   5.354,   0.000,   0.548,   0.689,   0.000,  0,   0.000,    0,    0,    9,   19,    4
 335,  -9.252,   4.379,   0.000,   0.548,   0.724,   0.000,  0,   0.000,   10,    3,    8,    0,    5
 328,  -8.277,   4.379,   0.000,   0.583,   0.724,   0.000,  0,   0.000,   10,    3,    7,    1,    5
 329,  -7.303,   4.379,   0.000,   0.619,   0.724,   0.000,  0,   0.000,   10,    3,    7,    2,    5
 330,  -6.328,   4.379,   0.000,   0.654,   0.724,   0.000,  0,   0.000,   10,    3,    6,    3,    5
 331,  -5.354,   4.379,   0.000,   0.689,   0.724,   0.000,  0,   0.000,   10,    3,    5,    4,    5
