"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
180,3.405,0.481,0,0.759,0.864,0,0,0,5,1,2,13,9
187,4.379,0.481,0,0.724,0.864,0,0,0,5,1,3,14,9
179,5.354,0.481,0,0.689,0.864,0,0,0,5,1,4,15,9
186,6.328,0.481,0,0.654,0.864,0,0,0,5,1,5,16,9
178,7.303,0.481,0,0.619,0.864,0,0,0,5,1,6,17,9
177,8.277,0.481,0,0.583,0.864,0,0,0,5,1,7,18,9
176,9.252,0.481,0,0.548,0.864,0,0,0,5,1,8,19,9
368,-9.252,-0.481,0,0.548,0.864,0,0,0,11,3,8,0,10
369,-8.277,-0.481,0,0.583,0.864,0,0,0,11,3,7,1,10
370,-7.303,-0.481,0,0.619,0.864,0,0,0,11,3,6,2,10
378,-6.328,-0.481,0,0.654,0.864,0,0,0,11,3,5,3,10
371,-5.354,-0.481,0,0.689,0.864,0,0,0,11,3,4,4,10
379,-4.379,-0.481,0,0.724,0.864,0,0,0,11,3,3,5,10
372,-3.405,-0.481,0,0.759,0.864,0,0,0,11,3,2,6,10
380,-2.43,-0.481,0,0.794,0.864,0,0,0,11,3,1,7,10
175,2.43,-0.481,0,0.794,0.864,0,0,0,5,1,1,12,10
174,3.405,-0.481,0,0.759,0.864,0,0,0,5,1,2,13,10
173,4.379,-0.481,0,0.724,0.864,0,0,0,5,1,3,14,10
165,5.354,-0.481,0,0.689,0.864,0,0,0,5,1,4,15,10
172,6.328,-0.481,0,0.654,0.864,0,0,0,5,1,5,16,10
164,7.303,-0.481,0,0.619,0.864,0,0,0,5,1,6,17,10
171,8.277,-0.481,0,0.583,0.864,0,0,0,5,1,7,18,10
163,9.252,-0.481,0,0.548,0.864,0,0,0,5,1,8,19,10
373,-9.252,-1.456,0,0.548,0.829,0,0,0,11,3,8,0,11
381,-8.277,-1.456,0,0.583,0.829,0,0,0,11,3,7,1,11
374,-7.303,-1.456,0,0.619,0.829,0,0,0,11,3,6,2,11
382,-6.328,-1.456,0,0.654,0.829,0,0,0,11,3,5,3,11
375,-5.354,-1.456,0,0.689,0.829,0,0,0,11,3,5,4,11
383,-4.379,-1.456,0,0.724,0.829,0,0,0,11,3,4,5,11
376,-3.405,-1.456,0,0.759,0.829,0,0,0,11,3,3,6,11
377,-2.43,-1.456,0,0.794,0.829,0,0,0,11,3,2,7,11
170,2.43,-1.456,0,0.794,0.829,0,0,0,5,1,2,12,11
162,3.405,-1.456,0,0.759,0.829,0,0,0,5,1,3,13,11
169,4.379,-1.456,0,0.724,0.829,0,0,0,5,1,4,14,11
161,5.354,-1.456,0,0.689,0.829,0,0,0,5,1,5,15,11
168,6.328,-1.456,0,0.654,0.829,0,0,0,5,1,5,16,11
160,7.303,-1.456,0,0.619,0.829,0,0,0,5,1,6,17,11
167,8.277,-1.456,0,0.583,0.829,0,0,0,5,1,7,18,11
166,9.252,-1.456,0,0.548,0.829,0,0,0,5,1,8,19,11
198,-9.252,-2.43,0,0.548,0.794,0,0,0,6,2,9,0,12
195,-8.277,-2.43,0,0.583,0.794,0,0,0,6,2,8,1,12
208,-7.303,-2.43,0,0.619,0.794,0,0,0,6,2,7,2,12
213,-6.328,-2.43,0,0.654,0.794,0,0,0,6,2,6,3,12
234,-5.354,-2.43,0,0.689,0.794,0,0,0,7,2,5,4,12
238,-4.379,-2.43,0,0.724,0.794,0,0,0,7,2,4,5,12
241,-3.405,-2.43,0,0.759,0.794,0,0,0,7,2,3,6,12
245,-2.43,-2.43,0,0.794,0.794,0,0,0,7,2,2,7,12
266,-1.456,-2.43,0,0.829,0.794,0,0,0,8,2,2,8,12
271,-0.481,-2.43,0,0.864,0.794,0,0,0,8,2,1,9,12
284,0.481,-2.43,0,0.864,0.794,0,0,0,8,2,1,10,12
281,1.456,-2.43,0,0.829,0.794,0,0,0,8,2,2,11,12
149,2.43,-2.43,0,0.794,0.794,0,0,0,4,1,2,12,12
157,3.405,-2.43,0,0.759,0.794,0,0,0,4,1,3,13,12
150,4.379,-2.43,0,0.724,0.794,0,0,0,4,1,4,14,12
158,5.354,-2.43,0,0.689,0.794,0,0,0,4,1,5,15,12
151,6.328,-2.43,0,0.654,0.794,0,0,0,4,1,6,16,12
159,7.303,-2.43,0,0.619,0.794,0,0,0,4,1,7,17,12
152,8.277,-2.43,0,0.583,0.794,0,0,0,4,1,8,18,12
153,9.252,-2.43,0,0.548,0.794,0,0,0,4,1,9,19,12
199,-9.252,-3.405,0,0.548,0.759,0,0,0,6,2,9,0,13
203,-8.277,-3.405,0,0.583,0.759,0,0,0,6,2,8,1,13
