   1368
    2.9640, Ru, Lg1   ,    0.0158
    2.9730, K , K-LL  ,    0.0043
    2.9835, Ag, La_   ,    0.5906
    2.9860, Th, Ma2   ,    0.3622
    2.9900, Pd, Lb1   ,    0.2132
    2.9960, Th, Ma1   ,    0.3622
    3.0010, Rh, Lb2   ,    0.0584
    3.0280, Tl, M-NO  ,    0.0095
    3.0340, Pb, M3O5  ,    0.0300
    3.0440, Sn, Ll    ,    0.0188
    3.0450, Pd, Lb4   ,    0.0207
    3.0640, Rh, Lg5   ,    0.0012
    3.0720, Pd, Lb3   ,    0.0315
    3.0870, Pd, Lb6   ,    0.0042
    3.1110, Pb, M-NO  ,    0.0220
    3.1120, In, Leta  ,    0.0077
    3.1324, Cd, La_   ,    0.5811
    3.1430, Rh, Lg1   ,    0.0193
    3.1450, Th, Mb_   ,    0.2173
    3.1500, Ag, Lb1   ,    0.2348
    3.1590, U , Ma2   ,    0.3635
    3.1646, Ar, K-MM  ,    0.0090
    3.1700, U , Ma1   ,    0.3635
    3.1710, Pd, Lb2   ,    0.0645
    3.1800, Ru, Lg2   ,    0.0094
    3.1880, Sb, Ll    ,    0.0188
    3.1900, Ar, Kb_   ,    0.0950
    3.2010, Bi, M-NO  ,    0.0253
    3.2030, Ag, Lb4   ,    0.0214
    3.2340, Ag, Lb3   ,    0.0368
    3.2430, Pd, Lg5   ,    0.0012
    3.2550, Ag, Lb6   ,    0.0045
    3.2720, Sn, Leta  ,    0.0076
    3.2854, In, La_   ,    0.5476
    3.2920, Ca, K-LL  ,    0.0033
    3.3120, K , Ka_   ,    0.8953
    3.3160, Cd, Lb1   ,    0.2170
    3.3280, Pd, Lg1   ,    0.0228
    3.3350, Te, Ll    ,    0.0191
    3.3360, U , Mb_   ,    0.3986
    3.3470, Ag, Lb2   ,    0.0496
    3.3520, Th, Mg_   ,    0.0362
    3.3630, Rh, Lg2   ,    0.0097
    3.3670, Cd, Lb4   ,    0.0221
    3.4010, Cd, Lb3   ,    0.0349
    3.4280, Ag, Lg5   ,    0.0013
    3.4290, Cd, Lb6   ,    0.0043
    3.4360, Sb, Leta  ,    0.0074
    3.4423, Sn, La_   ,    0.5178
    3.4840, I , Ll    ,    0.0189
    3.4870, In, Lb1   ,    0.2227
    3.5190, Ag, Lg1   ,    0.0181
    3.5280, Cd, Lb2   ,    0.0757
    3.5350, In, Lb4   ,    0.0305
    3.5420, U , Mg_   ,    0.0375
    3.5530, Pd, Lg2   ,    0.0099
    3.5546, K , K-MM  ,    0.0088
    3.5720, In, Lb3   ,    0.0487
    3.5890, K , Kb_   ,    0.1047
    3.6032, Sb, La_   ,    0.5178
    3.6050, Te, Leta  ,    0.0073
    3.6080, In, Lb6   ,    0.0041
    3.6190, Cd, Lg5   ,    0.0013
    3.6380, Sc, K-LL  ,    0.0026
    3.6620, Sn, Lb1   ,    0.2278
    3.6897, Ca, Ka_   ,    0.8976
    3.7080, Sn, Lb4   ,    0.0379
    3.7130, In, Lb2   ,    0.0755
    3.7160, Cd, Lg1   ,    0.0230
    3.7400, U , M2N1  ,    0.0017
    3.7430, Ag, Lg2   ,    0.0027
    3.7490, Ag, Lg3   ,    0.0107
    3.7500, Sn, Lb3   ,    0.0611
    3.7680, Te, La_   ,    0.5248
    3.7800, I , Leta  ,    0.0068
    3.7920, Sn, Lb6   ,    0.0040
    3.7940, Cs, Ll    ,    0.0190
    3.8150, In, Lg5   ,    0.0013
    3.8430, Sb, Lb1   ,    0.2257
    3.8860, Sb, Lb4   ,    0.0364
    3.9040, Sn, Lb2   ,    0.0753
    3.9200, In, Lg1   ,    0.0251
    3.9250, I , La2   ,    0.0472
    3.9320, Sb, Lb3   ,    0.0592
    3.9370, I , La1   ,    0.4721
    3.9510, Cd, Lg2   ,    0.0115
    3.9530, Ba, Ll    ,    0.0173
    3.9679, Ca, K-MM  ,    0.0084
    3.9700, Th, M3O5  ,    0.0300
    3.9790, Sb, Lb6   ,    0.0041
    4.0020, Ti, K-LL  ,    0.0019
    4.0120, Ca, Kb1   ,    0.1024
    4.0180, Sn, Lg5   ,    0.0013
    4.0290, Te, Lb1   ,    0.2265
    4.0320, Ca, Kb5   ,    0.0001
    4.0690, Te, Lb4   ,    0.0352
    4.0883, Sc, Ka_   ,    0.8951
    4.1000, Sb, Lb2   ,    0.0800
    4.1200, Th, M-NO  ,    0.0217
    4.1200, Te, Lb3   ,    0.0580
    4.1240, La, Ll    ,    0.0192
    4.1300, Sn, Lg1   ,    0.0269
    4.1410, Cs, Leta  ,    0.0064
    4.1600, In, Lg2   ,    0.0165
    4.1730, Te, Lb6   ,    0.0042
    4.2200, I , Lb1   ,    0.2206
    4.2230, U , M3O5  ,    0.0062
    4.2280, Sb, Lg5   ,    0.0013
    4.2360, In, Lg4   ,    0.0002
    4.2570, I , Lb4   ,    0.0335
    4.2720, Cs, La2   ,    0.0473
    4.2860, Cs, La1   ,    0.4725
    4.2870, Ce, Ll    ,    0.0195
    4.3010, Te, Lb2   ,    0.0859
    4.3130, I , Lb3   ,    0.0556
    4.3300, Ba, Leta  ,    0.0064
    4.3470, Sb, Lg1   ,    0.0276
    4.3700, I , Lb6   ,    0.0042
    4.3760, Sn, Lg2   ,    0.0211
    4.3810, V , K-LL  ,    0.0015
    4.4056, Sc, K-MM  ,    0.0067
    4.4430, Te, Lg5   ,    0.0014
    4.4500, Ba, La2   ,    0.0486
    4.4520, Pr, Ll    ,    0.0197
    4.4600, Sc, Kb1   ,    0.1048
    4.4630, Sn, Lg4   ,    0.0004
    4.4650, Ba, La1   ,    0.4862
    4.4860, Sc, Kb5   ,    0.0001
    4.4920, U , M-NO  ,    0.0047
    4.5070, I , Lb2   ,    0.0883
    4.5080, Ti, Ka_   ,    0.8944
    4.5240, La, Leta  ,    0.0060
    4.5700, Te, Lg1   ,    0.0288
    4.5990, Sb, Lg2   ,    0.0208
    4.6190, Cs, Lb1   ,    0.2174
    4.6320, Nd, Ll    ,    0.0200
    4.6330, La, La2   ,    0.0475
    4.6490, Cs, Lb4   ,    0.0313
    4.6500, La, La1   ,    0.4746
    4.6650, I , Lg5   ,    0.0013
    4.6960, Sb, Lg4   ,    0.0008
    4.7160, Cs, Lb3   ,    0.0524
    4.7310, Ce, Leta  ,    0.0058
    4.7780, Cr, K-LL  ,    0.0011
    4.7800, Cs, Lb6   ,    0.0045
    4.8000, I , Lg1   ,    0.0294
    4.8220, Ce, La2   ,    0.0477
    4.8270, Ba, Lb1   ,    0.2185
    4.8280, Te, Lg2   ,    0.0077
    4.8390, Ce, La1   ,    0.4770
    4.8510, Ba, Lb4   ,    0.0320
    4.8706, Ti, K-MM  ,    0.0058
    4.9260, Ba, Lb3   ,    0.0524
    4.9310, Ti, Kb1   ,    0.1055
    4.9350, Pr, Leta  ,    0.0056
    4.9350, Cs, Lb2   ,    0.0947
    4.9360, Te, Lg4   ,    0.0012
    4.9487, V , Ka_   ,    0.8908
    4.9610, Ti, Kb5   ,    0.0001
    4.9930, Ba, Lb6   ,    0.0047
    4.9940, Sm, Ll    ,    0.0246
    5.0130, Pr, La2   ,    0.0480
    5.0330, Pr, La1   ,    0.4800
    5.0410, La, Lb1   ,    0.2154
    5.0610, La, Lb4   ,    0.0292
    5.0650, I , Lg2   ,    0.0204
    5.1280, Cs, Lg5   ,    0.0014
    5.1430, La, Lb3   ,    0.0492
    5.1450, Nd, Leta  ,    0.0055
    5.1560, Ba, Lb2   ,    0.0774
    5.1760, Eu, Ll    ,    0.0205
    5.1840, I , Lg4   ,    0.0017
    5.1870, Mn, K-LL  ,    0.0008
    5.2070, Nd, La2   ,    0.0483
    5.2110, La, Lb6   ,    0.0046
    5.2290, Nd, La1   ,    0.4830
    5.2610, Ce, Lb1   ,    0.2136
    5.2760, Ce, Lb4   ,    0.0281
    5.2790, Cs, Lg1   ,    0.0310
    5.3602, V , K-MM  ,    0.0051
    5.3610, Gd, Ll    ,    0.0237
